index,geo_unit,Name,Province,latitude,longitude
230,BR00105,Waipawa,Hawkes.Bay,-39.9416,176.58963
231,BR00106,Waipukurau,Hawkes.Bay,-39.9917,176.5583
232,BR00107,Wairoa,Hawkes.Bay,-39.03517,177.41803
233,BR00108,Waitara,Taranaki,-39.00158,174.23836
234,BR00109,Wanganui,Wellington,-39.9333,175.05
235,BR00110,Wellington,Wellington,-41.28664,174.77557
236,BR00111,West Harbour,Auckland,-36.8094,174.6418
237,BR00112,Westport,Westland,-41.75262,171.6037
238,BR00113,Whakatane,Hawkes.Bay,-37.9585,176.985
239,BR00114,Whangarei,Auckland,-35.73167,174.32391
240,BR00115,Winton,Southland,-46.15,168.33333
241,BR00116,Woodville,Wellington,-40.3371,175.8667
242,BR00117,Woolston,Canterbury,-43.55,172.683333
