page,electoral_district,locality,venue_type,entry_raw
8,Ellesmere,Duvauchelle,Public Hall,"The Public Hall, Duvauchelle"
8,Selwyn,Springfield,Other,"Tawera County Council Chambers, Springfield (principal)"
8,Selwyn,Glenroy,Public School,"The Public School, Glenroy"
8,Selwyn,Dunsandel,Town Hall,"The Town Hall, Dunsandel"
8,Selwyn,Methven,Public School,"The Public School, Methven"
8,Selwyn,Barrhill,Public School,"The Public School, Barrhill"
8,Selwyn,Chertsey,Public School,"The Public School, Chertsey"
8,Selwyn,Rakaia,Courthouse,"The Courthouse, Rakaia"
8,Selwyn,Lauriston,Public School,"The Public School, Lauriston"
8,Selwyn,Lyndhurst,Other,"The Hall, Lyndhurst"
8,Selwyn,Dromore,Public School,"The Public School, Dromore"
8,Selwyn,Elgin,Public School,"The Public School, Elgin"
8,Selwyn,Anama,Public School,"The Public School, Anama"
8,Selwyn,Greendale,Public School,"The Public School, Greendale"
8,Selwyn,Fairton,Public School,"The Public School, Fairton"
8,Selwyn,Allenton,Public School,"The Public School, Allenton"
8,Selwyn,Wakanui,Public School,"The Public School, Wakanui"
8,Timaru,North Street,Courthouse,"The Courthouse, North Street (principal)"
8,Timaru,Browne Street,Other,"Catholic Hall, Browne Street"
8,Timaru,Washdyke,Public Hall,"The Public Hall, Washdyke"
8,Timaru,Seadown,Public School,"The Public School, Seadown"
8,Timaru,Rosewill,Public School,"The Public School, Rosewill"
8,Timaru,Gleniti,School,"The Publie School, Gleniti"
8,Timaru,Adair,Public School,"The Public School, Adair"
8,Timaru,Fairview,Public School,"The Public School, Fairview"
8,Timaru,Kingsdown,Public School,"The Public School, Kingsdown"
8,Timaru,Pareora,Public Hall,"The Public Hall, Pareora"
8,Temuka,Temuka,Drill Hall,"The Drill-shed, Hall, Temuka (principal)"
8,Temuka,Hazelburn,Public School,"The Public School, Hazelburn"
8,Temuka,Albury,Public School,"The Public School, Albury"
8,Temuka,Fairlie,Public School,"The Public School, Fairlie"
8,Temuka,Burke’s Pass,Public School,"The Public School, Burke’s Pass"
8,Temuka,St,Public School,"The Public School, St"
8,Temuka,Otaio,Public School,"The Public School, Otaio"
8,Temuka,Makikihi,Public School,"The Public School, Makikihi"
8,Temuka,Hook,Public School,"The Public School, Hook"
8,Temuka,Wai,Other,"William Geddes’s Homestead, Timaru Road, Wai"
8,Temuka,Waimate,Courthouse,"The Courthouse, Waimate (principal)"
8,Temuka,Ardgowan,Public School,"The Public School, Ardgowan"
8,Temuka,Duntroon,Public School,"The Public School, Duntroon"
8,Temuka,Teaneraki,Public School,"The Public School, Teaneraki (Enfield Post-office)"
