Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Thames North,3A,59,,,
,,Thames South,5B,326,,,
,,Thornton,1,11,,,
,,Ti Point,2,29,,,
,,To Rangi,1,8,,,
,,Tirau,3A,46,,,
,,Tiroa,1,9,,,
,,Tirohanga (half-time) See under Ngahape,,,,,
,,Titirangi,1,12,,,
,,Titoki (22) and Wharekohe (16),3A,38,,,
,,Toatoa,0,6,,,
,,Tokanui (half-time) see under Ngahape,,,,,
,,Tokatoka,3A,38,,,
,,Tokoroa,2,24,,,
,,Tomarata,2,24,,,
,,Totara,3A,39,,,
,,Tryphena (half-time) See under Okupu,,,,,
,,Tuakau,3B,81,,,
,,Tuhikaramea,2,27,,,
,,Turanga-o-moana,2,30,,,
,,Turiwhiu,1,14,,,
,,Turua,3A,92,,,
,,Tutamoe (half-time) see under Mangatu,,,,,
,,Tutekehua,1,13,,,
,,Tutukaka (half-time) see under Matapouti,,,,,
,,Umawere (half-time) see under Taikawhana,,,,,
,,Upper Oruaiti (half-time) see under Oruaiti,,,,,
,,Upper Waihou (half-time) see under Rangiahau,,,,,
,,Upper Waiwera,2,23,,,
,,Utakura Valley (half-time) see under Okaihau No.2,,,,,
,,Victoria Valley,3A,62,,,
,,Waharoa,3A,56,,,
,,Waiare,1,9,,,
,,Waiaru,1,22,,,
,,Waiharara,3A,41,,,
,,Waiheke Central,2,20,,,
,,Waihi District High School Primary (352) Secondary (49),6A,401,,,
,,Waihi East,5A,215,,,
,,Waihi Plains,2,39,,,
,,Waihi South,5A,249,,,
,,Waihopo,3A,57,,,
,,Waihou,3B,99,,,
,,Waikawau (half-time) see under Kereta,,,,,
,,Waikiekie East (17) and Waikiekie West (29),3A,46,,,
,,Waikino,4B,173,,,
,,Waikoukou,1,8,,,
,,Waikumete,3B,98,,,
,,Waimai (6) and Waingaro (9),1,15,,,
,,Waimamaku Valley ,3A,36,,,
,,Waimana,3A,43,,,
,,Waimate,3A,55,,,
,,Waimatenui,0,10,,,
,,Waingakau,0,9,,,
,,Waingaro (half-time) See under Waimai,,,,,
,,Wainui (half-time) See under Lochnorrie,,,,,
,,Waiomou,2,29,,,
,,Waiorongomai,2,19,,,
,,Waiotahi Valley ,2,27,,,
,,Waiotemarama (18) and Weke-weka (17),3A,35,,,
,,Waipapa,1,11,,,
,,Waipari (18) and Wharepuhunga (18),3A,36,,,
,,Waipipi,3A,61,,,
,,Waipu Cave,1,7,,,
,,Waipu Central,3A,53,,,
,,Waipu Cove (half-time) see under Bream Trail,,,,,
,,Waipu North,2,26,,,
,,Waipu Upper,3A,30,,,
,,Waipuna,3A,38,,,
,,Wairanga,2,29,,,
,,Wairangi Farm ,2,33,,,
,,Wairere,2,18,,,
,,Wairiri Falls (half-time) see under Paemako,,,,,
,,Wairoa South,2,23,,,
,,Waitakaruru,2,21,,,
,,Waitangi,2,25,,,
,,Waitanguru (half-time) see under Mairoa,,,,,
,,Waitekauri,2,20,,,
,,Waitetuna,1,20,,,
,,Waitoa,3A,58,,,
,,Waitomo Caves (half-time) see under Putake,,,,,
,,Waitomo Valley Road (12) and Te Rau Mauku (13),2,25,,,
,,Waituhi,3A,43,,,
,,Waiuku,4B,186,,,
,,Waiwera,1,12,,,
,,Waiwhiu,1,11,,,
,,Walton,3A,63,,,
,,Wardville,1,26,,,
,,Warkworth,4B,152,,,
,,Wayby,1,15,,,
,,Wekaweka (half-time) see under Waiotemarama ,,,,,
,,Wellsford,3A,49,,,
,,Weymouth,1,23,,,
,,Whakamarama,2,24,,,
,,Whakapara,3A,50,,,
,,Whakatane,4C,253,,,
,,Whananaki,3A,38,,,
,,Whangae,1,11,,,
,,Whangaparoa,11,16,,,
,,Whangapoua (half-time) see under Tererenga,,,,,
,,Whangarata,2,30,,,
,,Whangarei,6B,462,,,
,,Whangarei Heads (42) and side school (14),3A,56,,,
,,Whangaripo,0,8,,,
,,Whangaroa North,2,25,,,
,,Wharehine,1,23,,,
,,Wharekohe (half-time) see under Titoki,,,,,
,,Whareora (half-time) see under Brynavon,,,,,
,,Wharepoa,3A,64,,,
,,Wharepuhunga (half-time) see under Waipari,,,,,
,,Whatawhata,3A,58,,,
,,Whatipu (half-time) see under Piha,,,,,
,,Whawharua,2,26,,,
,,Whenuakite (half-time) see under Gumtown,,,,,
,,Whitford No.1,3A,42,,,
,,Whitford No.2,1,16,,,
,,Woodhill,3A,71,,,
,,Young's Point ,1,12,,,
,,"Normal District High School and five model schools at training college - Normal Primary (353), Model Schools Type (i) rural (31); type (ii) junior P-S 2 (29); type (iii) Secondary (19); type (iv) special classes (21); type (v) Junior kindergarten (average note reckoned) children under 5 years of age",6B,453,,,
