"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00058","New Brighton",1713,"Christchurch","Canterbury",34,37,34,35,34,35,34,34,34,34,33,33,34,30,30,30,30,28,27,27,27,27,26,26,26,27,27,27,28,28,28,28,29,30,30,30,30,27,27,27,27,27,22,22,23,22,22,18,18,18,18,18,14,14,14,14,14,11,11,11,11,11,9,9,10,10,10,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00059","New Plymouth",5254,"NewPlymouth","Taranaki",117,109,106,98,112,114,119,103,109,115,107,122,129,100,100,100,100,89,86,86,87,87,80,80,80,80,80,77,77,77,78,78,81,82,82,82,82,80,80,80,80,80,62,62,62,62,62,56,56,56,56,56,38,39,39,38,38,34,34,34,34,34,28,28,29,29,29,21,21,21,22,22,15,15,16,16,16,11,11,10,10,10,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00060","Newmarket",1367,"Auckland","Auckland",26,27,25,27,27,27,26,25,25,26,26,27,26,25,25,25,25,24,22,22,22,22,21,22,22,22,22,22,23,23,23,23,23,24,24,24,24,22,22,22,22,22,18,18,18,18,18,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00061","Ngaruawahia",495,"Hamilton","Auckland",12,13,11,12,13,12,11,11,12,11,11,9,10,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00062","Northcote",902,"Auckland","Auckland",17,18,17,18,18,18,17,16,17,17,17,18,17,16,16,17,17,16,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,14,14,14,14,14,12,12,12,12,12,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00063","Oamaru",2532,"Dunedin","Otago",49,49,48,48,53,50,49,51,50,50,50,53,52,49,49,49,49,49,42,42,42,42,38,39,39,39,39,38,38,38,38,38,39,39,39,39,39,38,38,38,38,38,33,33,33,33,33,28,28,28,28,28,21,21,21,21,21,17,17,17,17,17,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00064","Ohakune",703,"Wanganui","Taranaki",16,16,16,16,16,15,16,15,15,16,16,16,17,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00065","Onehunga",3127,"Auckland","Auckland",60,61,58,61,62,62,59,57,58,60,59,62,60,57,57,57,57,55,51,51,51,51,49,50,49,50,50,51,52,52,52,52,53,54,54,54,54,49,50,50,50,50,41,41,41,41,41,34,34,34,34,34,25,25,25,25,25,20,20,21,21,21,16,16,16,16,16,12,12,12,12,12,8,9,9,9,9,6,6,6,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00066","Opotiki",517,"Gisborne","Hawkes.Bay",14,13,12,14,13,13,12,12,11,10,11,11,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00067","Otahuhu",1244,"Auckland","Auckland",24,24,23,24,25,25,24,23,23,24,23,25,24,23,23,23,23,22,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,22,21,21,21,20,20,20,20,20,16,16,16,16,16,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,6,6,7,7,7,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
