geo_unit,Agricultural,Commercial,Domestic,Industrial,Professional,Transport,Indefinite,sex
BR00091,0.09782608695652174,0.16847826086956522,0.31521739130434784,0.1956521739130435,0.17391304347826086,0.021739130434782608,0.02717391304347826,female
BR00092,0.09565217391304348,0.1681159420289855,0.3159420289855073,0.19710144927536233,0.17391304347826086,0.02318840579710145,0.02608695652173913,female
BR00093,0.1111111111111111,0.14814814814814814,0.2962962962962963,0.18518518518518517,0.18518518518518517,0.037037037037037035,0.037037037037037035,female
BR00094,0.0967741935483871,0.16666666666666666,0.3172043010752688,0.1989247311827957,0.17204301075268819,0.021505376344086023,0.026881720430107527,female
BR00095,0.09644670050761421,0.16751269035532995,0.3197969543147208,0.19796954314720813,0.17258883248730963,0.02030456852791878,0.025380710659898477,female
BR00096,0.09473684210526316,0.16842105263157894,0.3157894736842105,0.2,0.1736842105263158,0.021052631578947368,0.02631578947368421,female
BR00097,0.09558823529411764,0.16911764705882354,0.3161764705882353,0.19852941176470587,0.16911764705882354,0.022058823529411766,0.029411764705882353,female
BR00098,0.09405940594059406,0.16831683168316833,0.31683168316831684,0.19801980198019803,0.17326732673267325,0.024752475247524754,0.024752475247524754,female
BR00099,0.09433962264150944,0.16981132075471697,0.31446540880503143,0.20125786163522014,0.16981132075471697,0.025157232704402517,0.025157232704402517,female
BR00100,0.09579439252336448,0.1658878504672897,0.3177570093457944,0.1985981308411215,0.17289719626168223,0.02336448598130841,0.02570093457943925,female
BR00101,0.09649805447470818,0.16653696498054474,0.3167315175097276,0.19844357976653695,0.17276264591439688,0.022568093385214007,0.026459143968871595,female
BR00102,0.096045197740113,0.16666666666666666,0.3192090395480226,0.1977401129943503,0.17231638418079095,0.022598870056497175,0.025423728813559324,female
BR00103,0.09433962264150944,0.16981132075471697,0.32075471698113206,0.20754716981132076,0.16981132075471697,0.018867924528301886,0.018867924528301886,female
BR00104,0.09473684210526316,0.16842105263157894,0.3157894736842105,0.2,0.1736842105263158,0.021052631578947368,0.02631578947368421,female
BR00105,0.09278350515463918,0.16494845360824742,0.31958762886597936,0.1958762886597938,0.17525773195876287,0.020618556701030927,0.030927835051546393,female
BR00106,0.09917355371900827,0.1652892561983471,0.3140495867768595,0.19834710743801653,0.17355371900826447,0.024793388429752067,0.024793388429752067,female
BR00107,0.09580838323353294,0.16766467065868262,0.31736526946107785,0.19760479041916168,0.17365269461077845,0.023952095808383235,0.023952095808383235,female
