index,geo_unit,Name,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
42,CT00043,Kairanga,-40.34807006,175.5318268,55,56,53,52,50,49,49,48,44,47,43,40,39,38,38,38,38,37,34,34,34,34,33,33,33,33,33,35,36,36,36,36,36,36,36,36,36,33,33,33,33,33,25,25,25,25,25,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,7,7,7,7,4,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,CT00044,Kaitieke,-39.10051591,175.2629136,45,46,44,41,43,41,40,40,38,38,36,33,33,32,32,32,32,29,28,28,28,28,26,26,26,26,26,27,28,28,28,28,26,26,26,26,26,23,23,23,23,23,18,18,18,18,18,13,13,13,13,13,9,9,9,9,9,7,7,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CT00045,Kawhia,-38.06504443,174.8200746,15,15,14,15,14,14,13,13,12,12,12,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CT00046,Kiwitea,-40.10857,175.71552,32,32,31,30,29,28,28,28,26,27,25,23,22,22,22,22,22,21,19,20,20,20,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,19,19,19,19,19,14,15,15,15,15,11,12,12,11,11,8,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,CT00047,Kowai,-43.2097,172.6956,24,23,23,23,23,21,21,21,20,20,19,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,CT00048,Lake,-44.83281,168.50304,22,24,22,22,23,21,21,22,20,20,20,18,18,16,16,16,16,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,12,12,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,CT00049,Levels,-44.29873,171.2225,59,56,56,57,57,52,51,52,50,49,46,43,42,41,41,41,41,38,36,37,37,37,36,36,36,36,36,37,38,38,38,38,37,37,37,37,37,34,34,34,34,34,27,27,27,27,27,22,22,22,22,22,15,15,15,15,15,13,13,13,13,13,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CT00050,Mackenzie,-44.1,170.8289,42,40,39,40,40,37,36,37,35,35,32,30,29,29,29,29,29,27,26,26,26,26,25,25,25,25,25,26,26,26,27,27,26,26,26,26,26,24,24,24,24,24,19,19,19,19,19,16,16,16,16,16,11,11,11,11,11,9,9,9,9,9,8,8,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,CT00051,Makara,-41.2512123,174.7136094,35,35,33,33,31,31,31,30,28,29,27,25,24,24,24,24,24,23,21,21,21,21,21,21,21,21,21,22,23,22,23,23,22,23,23,23,23,21,21,21,21,21,16,16,16,16,16,12,13,13,12,12,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CT00052,Malvern,-43.4884,172.11462,37,35,35,36,36,33,32,33,31,31,29,27,26,26,26,26,26,24,23,23,23,23,22,23,23,23,23,23,24,24,24,24,23,24,24,24,24,21,21,21,21,21,17,17,17,17,17,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,CT00053,Manawatu,-39.7273356,175.4375574,55,56,53,52,50,49,49,48,44,47,43,40,39,38,38,38,38,37,33,34,34,34,33,33,33,33,33,35,36,36,36,36,35,36,36,36,36,33,33,33,33,33,25,25,25,25,25,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,7,7,4,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,CT00054,Maniototo,-45.12086448,170.0292969,31,31,31,29,32,30,29,30,28,29,28,27,27,24,24,24,24,22,20,20,20,20,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,20,20,20,20,20,17,17,17,17,17,15,15,15,15,15,10,10,10,10,10,8,8,8,8,8,7,8,8,8,8,5,6,6,6,6,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
