geo_unit,school,name,latitude,longitude,grade_1918,average_attendance_1918,gender,StatutoryLowAge,StatutoryHighAge,number_staff,SchoolCapacity
CT00014,Romahapa,Clutha,-46.233333,169.75,3,45,Mixed,5,12,2,50
CT00087,Saddle Hill,Taieri,-45.887,170.2335,1,9,Mixed,5,12,1,10
CT00054,St. Bathans,Maniototo,-45.12086448,170.0292969,2,28,Mixed,5,12,1,31
CT00074,St. Leonards,Peninsula,-45.8583,170.65,3,39,Mixed,5,12,2,43
CT00074,Sandymount,Peninsula,-45.8583,170.65,3,38,Mixed,5,12,2,42
CT00100,Sawyer's Bay,Waikouaiti,-45.60014881,170.4716171,4,122,Mixed,5,12,5,136
CT00100,Seacliff,Waikouaiti,-45.60014881,170.4716171,3,90,Mixed,5,12,2,100
CT00014,Spottis Creek,Clutha,-46.233333,169.75,1,10,Mixed,5,12,1,11
CT00014,Spylaw Valley,Clutha,-46.233333,169.75,1,11,Mixed,5,12,1,12
CT00009,Stirling,Bruce,-46.116667,169.966667,3,72,Mixed,5,12,3,80
CT00014,Stony Creek,Clutha,-46.233333,169.75,2,18,Mixed,5,12,1,20
CT00054,Strath Taieri,Maniototo,-45.12086448,170.0292969,4,117,Mixed,5,12,7,130
CT00087,Sutton,Taieri,-45.887,170.2335,2,31,Mixed,5,12,1,34
CT00087,Table Hill,Taieri,-45.887,170.2335,1,12,Mixed,5,12,1,13
CT00014,Tahakapa,Clutha,-46.233333,169.75,2,33,Mixed,5,12,1,37
CT00014,Tahatika,Clutha,-46.233333,169.75,2,22,Mixed,5,12,1,24
CT00014,Tahora,Clutha,-46.233333,169.75,0,8,Mixed,5,12,1,9
CT00087,Taieri Beach,Taieri,-45.887,170.2335,2,22,Mixed,5,12,1,24
CT00087,Taieri Ferry,Taieri,-45.887,170.2335,1,14,Mixed,5,12,1,16
CT00009,Tapui,Bruce,-46.116667,169.966667,2,15,Mixed,5,12,1,17
CT00014,Tarara,Clutha,-46.233333,169.75,1,10,Mixed,5,12,1,11
CT00095,Tarras,Vincent,-45.52,169.46,1,14,Mixed,5,12,1,16
CT00014,Taumata,Clutha,-46.233333,169.75,1,12,Mixed,5,12,1,13
CT00014,Tawanui,Clutha,-46.233333,169.75,2,21,Mixed,5,12,1,23
CT00113,Teaneraki,Waitaki,-44.926,170.635,3,63,Mixed,5,12,2,70
CT00093,Te Houka,Tuapeka,-45.913,169.688,2,22,Mixed,5,12,1,24
CT00113,Tokaraki,Waitaki,-44.926,170.635,3,44,Mixed,5,12,3,49
CT00009,Tokoiti,Bruce,-46.116667,169.966667,3,95,Mixed,5,12,3,106
CT00113,Totara,Waitaki,-44.926,170.635,3,85,Mixed,5,12,3,94
CT00093,Tuapeka Flat,Tuapeka,-45.913,169.688,1,13,Mixed,5,12,1,14
CT00093,Tuapeka Mouth,Tuapeka,-45.913,169.688,3,37,Mixed,5,12,2,41
CT00093,Tuapeka West,Tuapeka,-45.913,169.688,1,16,Mixed,5,12,1,18
CT00014,Upper Junction,Clutha,-46.233333,169.75,2,26,Mixed,5,12,1,29
CT00113,Waianakarua,Waitaki,-44.926,170.635,2,33,Mixed,5,12,1,37
CT00097,Waihemo,Waihemo,-45.383,170.633,1,10,Mixed,5,12,1,11
